WDSP,num_delays,avg_delay_time
0.0,62,27.44
0.1,22,26.86
0.2,36,42.00
0.3,26,32.38
0.4,80,39.94
0.5,78,38.76
0.6,69,31.39
0.7,115,55.34
0.8,226,45.76
0.9,331,48.51
1.0,449,38.12
1.1,630,41.21
1.2,367,49.29
1.3,569,36.49
1.4,736,38.73
1.5,940,36.40
1.6,749,41.75
1.7,1328,39.01
1.8,1513,35.27
1.9,1720,35.36
2.0,2585,37.14
2.1,2064,32.13
2.2,3165,33.00
2.3,2901,34.67
2.4,2510,35.63
2.5,5098,35.94
2.6,3253,32.22
2.7,4457,32.53
2.8,5696,33.14
2.9,5382,34.64
3.0,6704,34.86
3.1,5303,34.17
3.2,6329,33.26
3.3,7496,32.97
3.4,6383,33.41
3.5,7604,33.56
3.6,8943,33.73
3.7,9470,35.10
3.8,8557,32.95
3.9,8712,32.92
4.0,9306,31.92
4.1,8673,34.52
4.2,9128,34.76
4.3,10338,33.13
4.4,10038,34.84
4.5,9790,35.51
4.6,9560,31.98
4.7,10402,32.31
4.8,11409,33.20
4.9,11029,33.60
5.0,11148,34.94
5.1,10643,35.38
5.2,10524,32.49
5.3,11190,32.00
5.4,9325,34.89
5.5,11612,36.20
5.6,12318,34.17
5.7,10329,32.56
5.8,10769,34.90
5.9,10299,33.59
6.0,10323,32.41
6.1,11070,34.74
6.2,10126,33.24
6.3,9412,33.05
6.4,8019,33.13
6.5,12466,33.14
6.6,9445,33.98
6.7,10211,36.34
6.8,12030,33.60
6.9,9436,34.71
7.0,11069,35.09
7.1,7627,32.96
7.2,9426,34.46
7.3,8481,35.10
7.4,8066,32.32
7.5,8836,33.65
7.6,9153,34.50
7.7,7976,33.99
7.8,10223,34.59
7.9,6793,32.06
8.0,7552,36.32
8.1,7912,35.09
8.2,8149,35.96
8.3,7378,32.73
8.4,6956,33.75
8.5,7023,34.96
8.6,5577,37.14
8.7,8843,34.24
8.8,7110,35.37
8.9,5981,37.12
9.0,7014,44.48
9.1,6754,34.62
9.2,5069,33.68
9.3,5641,33.78
9.4,6432,36.32
9.5,5677,38.25
9.6,6460,34.02
9.7,5455,33.57
9.8,6411,48.37
9.9,6711,34.33
10.0,5853,39.52
10.1,6272,38.80
10.2,4084,39.98
10.3,5060,35.03
10.4,5371,37.71
10.5,3782,40.31
10.6,3411,35.90
10.7,4143,35.12
10.8,4116,34.14
10.9,2881,41.79
11.0,3492,37.32
11.1,2899,37.43
11.2,3069,37.69
11.3,3866,43.53
11.4,3271,45.42
11.5,4591,39.05
11.6,3028,36.81
11.7,4372,46.19
11.8,3037,33.77
11.9,2408,32.96
12.0,2595,37.84
12.1,3129,34.71
12.2,3181,40.13
12.3,2671,40.72
12.4,2306,46.02
12.5,3844,39.95
12.6,2842,39.41
12.7,2490,49.40
12.8,2620,41.33
12.9,2877,36.88
13.0,2037,38.43
13.1,2109,45.14
13.2,2467,40.35
13.3,1435,51.86
13.4,2252,36.37
13.5,2259,38.21
13.6,1559,39.56
13.7,2533,33.34
13.8,1247,32.94
13.9,1834,34.98
14.0,1962,47.24
14.1,1287,39.12
14.2,1514,38.33
14.3,1677,42.23
14.4,946,34.34
14.5,1564,39.17
14.6,771,43.58
14.7,1159,35.89
14.8,854,38.78
14.9,1389,40.95
15.0,561,33.24
15.1,1091,39.23
15.2,495,54.65
15.3,837,34.93
15.4,1142,39.97
15.5,1092,35.19
15.6,1345,46.89
15.7,361,31.37
15.8,1060,35.31
15.9,668,42.32
16.0,780,47.67
16.1,393,52.15
16.2,740,45.41
16.3,848,37.62
16.4,401,38.12
16.5,1019,36.66
16.6,868,37.53
16.7,486,37.85
16.8,445,33.72
16.9,491,40.39
17.0,368,35.97
17.1,431,44.72
17.2,242,39.81
17.3,805,50.89
17.4,836,64.99
17.5,586,33.16
17.6,136,32.60
17.7,364,53.34
17.8,720,56.17
17.9,191,36.56
18.0,669,34.72
18.1,264,43.58
18.2,239,46.26
18.3,152,34.05
18.4,122,31.46
18.5,165,41.54
18.6,100,40.91
18.7,110,66.78
18.8,298,34.05
18.9,201,40.03
19.0,213,50.59
19.1,216,59.16
19.2,585,37.92
19.3,36,57.94
19.4,30,78.40
19.5,157,77.98
19.6,294,39.25
19.7,209,39.11
19.8,75,27.72
19.9,164,106.18
20.0,17,22.18
20.1,44,72.95
20.2,40,25.43
20.3,13,66.62
20.4,38,104.66
20.5,5,45.40
20.6,44,62.43
20.7,69,42.67
20.8,94,102.48
20.9,14,188.43
21.0,173,69.44
21.1,25,122.44
21.2,153,38.96
21.3,12,61.50
21.4,15,62.20
21.5,23,73.91
21.6,14,65.29
21.7,166,50.42
21.8,10,45.80
21.9,13,62.00
22.0,3,29.00
22.1,106,31.07
22.2,2,5.00
22.3,10,70.90
22.4,1,49.00
22.5,1,15.00
22.6,20,32.50
22.7,2,19.00
22.9,39,50.21
23.0,4,99.25
23.1,10,126.60
23.2,2,248.00
23.4,4,42.50
23.5,2,62.00
23.6,3,98.67
23.7,1,1.00
23.9,1,21.00
24.0,6,61.50
24.1,5,60.80
24.3,3,79.33
24.4,3,26.67
24.5,2,12.00
24.8,13,54.38
25.0,1,95.00
25.1,1,27.00
25.2,1,87.00
25.4,1,1.00
25.5,10,50.70
25.6,3,70.33
25.7,30,27.60
26.0,2,155.50
26.2,17,57.18
26.4,1,66.00
27.0,4,103.25
27.6,5,14.20
28.9,1,1.00
32.5,6,22.00
