MXSPD,num_delays,avg_delay_time
0.0,196,49.54
2.9,126,36.83
4.1,1252,39.13
5.1,5472,34.07
6.0,17447,32.51
6.8,3,39.00
7.0,29531,32.68
7.8,4,43.25
8.0,37332,32.04
8.9,56326,32.01
9.7,2,30.50
9.9,61595,32.88
11.1,67315,33.60
11.7,2,14.00
12.0,71048,33.09
13.0,68273,33.01
13.6,6,83.50
14.0,56739,34.36
15.0,53658,34.24
15.9,47737,34.93
17.1,45408,35.56
18.1,39904,37.77
19.0,31187,37.44
19.4,3,28.00
19.8,36,20.03
20.0,26506,40.46
21.0,20788,40.27
21.4,2,13.00
22.0,18145,38.86
22.5,1,118.00
22.9,14506,48.17
23.3,21,23.19
24.1,11685,43.09
25.1,9011,44.00
25.3,1,112.00
26.0,6636,39.95
27.0,5121,49.26
28.0,4849,52.00
28.9,2909,58.60
29.1,27,28.85
29.9,1759,51.92
30.3,52,41.42
31.1,2648,57.23
32.1,973,43.42
33.0,916,56.85
34.0,813,62.59
35.0,869,55.12
35.9,799,59.40
36.9,430,72.47
38.1,160,71.96
38.9,1,86.00
39.0,57,50.56
40.0,78,48.88
41.0,52,53.71
42.0,9,98.67
42.9,49,109.63
44.1,71,68.87
45.1,1,83.00
46.0,28,53.29
48.0,1,16.00
49.0,1,26.00
49.9,25,154.36
53.0,1,36.00
55.0,3,125.33
