PRCP,num_delays,avg_delay_time
0.0,513493,33.66
0.01,34315,37.12
0.02,21602,35.82
0.03,16344,36.26
0.04,13369,38.19
0.05,9011,36.17
0.06,9663,40.93
0.07,9387,37.05
0.08,6725,37.19
0.09,7798,36.86
0.1,5247,40.59
0.11,6996,36.79
0.12,6033,36.82
0.13,5540,39.14
0.14,4497,46.94
0.15,4989,37.88
0.16,5240,38.94
0.17,4344,38.35
0.18,3914,39.88
0.19,3379,43.25
0.2,4766,51.16
0.21,3395,36.28
0.22,3077,41.93
0.23,3554,35.47
0.24,3088,43.42
0.25,2670,34.09
0.26,2421,36.57
0.27,3038,33.75
0.28,2068,38.80
0.29,3784,38.93
0.3,2164,32.74
0.31,1978,40.66
0.32,2338,33.45
0.33,2415,44.68
0.34,1933,31.44
0.35,2188,42.12
0.36,1962,39.71
0.37,1899,41.78
0.38,1221,36.62
0.39,1205,35.73
0.4,1181,35.76
0.41,1533,35.73
0.42,1936,43.11
0.43,1491,32.41
0.44,889,33.52
0.45,1621,36.25
0.46,1349,48.76
0.47,826,39.51
0.48,1210,42.04
0.49,1203,37.32
0.5,2074,49.82
0.51,878,38.77
0.52,1523,48.71
0.53,1178,33.10
0.54,602,52.41
0.55,1063,40.65
0.56,1294,34.96
0.57,947,41.49
0.58,913,33.67
0.59,668,39.92
0.6,606,37.68
0.61,1118,34.21
0.62,930,40.30
0.63,632,39.21
0.64,1298,40.84
0.65,814,38.39
0.66,341,41.29
0.67,598,39.84
0.68,335,40.89
0.69,669,49.28
0.7,1207,37.48
0.71,844,41.16
0.72,1131,38.93
0.73,785,29.73
0.74,1229,41.74
0.75,429,35.82
0.76,438,41.55
0.77,1200,32.45
0.78,560,28.49
0.79,787,37.75
0.8,544,35.28
0.81,866,45.77
0.82,554,37.23
0.83,945,30.07
0.84,542,37.87
0.85,283,41.19
0.86,541,35.19
0.87,222,38.75
0.88,387,34.63
0.89,684,33.16
0.9,438,32.61
0.91,913,39.50
0.92,525,50.21
0.93,703,32.38
0.94,446,32.55
0.95,184,33.49
0.96,176,28.60
0.97,294,33.38
0.98,1009,69.84
0.99,270,30.26
1.0,201,34.12
1.01,527,28.70
1.02,621,31.89
1.03,294,36.93
1.04,461,35.46
1.05,137,31.94
1.06,1143,108.03
1.07,254,29.15
1.08,170,33.69
1.09,390,32.69
1.1,318,28.56
1.11,877,36.65
1.12,394,43.28
1.13,136,22.04
1.14,616,45.12
1.15,378,30.68
1.16,129,32.44
1.17,106,45.52
1.18,419,43.23
1.19,153,27.48
1.2,332,43.98
1.21,528,25.57
1.22,53,35.15
1.23,502,42.69
1.24,182,42.32
1.25,315,35.43
1.26,188,27.68
1.27,144,28.31
1.28,381,28.09
1.29,213,45.85
1.3,341,33.25
1.31,246,25.43
1.32,340,34.46
1.33,404,32.15
1.34,116,39.04
1.35,83,39.66
1.36,141,37.67
1.37,263,46.62
1.38,72,44.74
1.39,149,36.88
1.4,295,32.48
1.41,287,31.93
1.42,200,34.91
1.43,148,34.82
1.44,254,47.03
1.45,175,28.87
1.46,75,45.04
1.47,152,42.50
1.48,194,23.59
1.49,71,26.89
1.5,101,68.58
1.51,145,40.01
1.52,504,53.99
1.53,41,66.59
1.54,301,43.25
1.55,93,50.80
1.56,146,18.90
1.57,145,40.61
1.58,165,42.12
1.59,72,50.25
1.6,327,32.55
1.61,30,36.83
1.62,284,43.07
1.63,105,40.87
1.64,126,35.74
1.65,286,30.74
1.66,213,54.72
1.67,20,40.25
1.68,46,47.17
1.69,97,62.79
1.7,77,70.96
1.71,22,44.32
1.72,57,45.37
1.73,157,35.25
1.74,40,36.15
1.75,75,24.59
1.76,19,27.68
1.77,52,67.12
1.78,648,36.63
1.79,2,114.00
1.8,53,66.62
1.81,96,45.78
1.82,42,31.69
1.83,32,29.44
1.84,421,24.34
1.85,182,40.96
1.86,13,32.69
1.87,18,40.06
1.88,30,135.27
1.89,25,32.68
1.9,10,127.30
1.91,62,26.16
1.92,10,39.90
1.93,62,71.06
1.94,196,31.11
1.95,18,21.83
1.96,52,42.31
1.97,39,46.49
1.98,266,36.14
1.99,62,45.65
2.0,31,63.32
2.01,61,32.02
2.02,15,57.00
2.03,547,39.04
2.04,22,23.77
2.05,461,31.15
2.06,49,34.78
2.07,29,9.62
2.08,16,54.25
2.09,3,38.33
2.1,5,37.40
2.11,12,22.25
2.12,34,21.32
2.13,19,35.32
2.14,112,62.93
2.15,30,20.03
2.16,9,43.00
2.17,22,32.27
2.18,31,17.55
2.19,130,72.98
2.2,4,25.00
2.21,10,53.40
2.22,15,19.20
2.23,81,101.11
2.24,13,49.85
2.25,29,18.14
2.26,32,31.41
2.27,21,22.57
2.28,1,298.00
2.29,23,34.87
2.3,22,33.05
2.31,111,35.16
2.33,27,38.96
2.34,87,22.92
2.35,4,31.25
2.36,4,68.50
2.37,264,20.26
2.38,2,577.50
2.39,536,73.10
2.4,31,21.61
2.41,6,46.17
2.42,60,25.15
2.43,14,52.07
2.44,21,28.48
2.45,7,79.14
2.46,11,34.09
2.47,71,25.65
2.48,95,16.20
2.49,9,33.44
2.5,10,43.30
2.51,85,32.32
2.52,31,27.19
2.53,57,33.61
2.54,5,169.40
2.55,19,57.11
2.56,139,31.86
2.57,38,38.00
2.58,70,20.57
2.59,5,9.00
2.6,9,49.56
2.61,103,21.99
2.62,27,37.30
2.63,1,1.00
2.64,12,67.17
2.65,10,18.20
2.66,86,44.35
2.67,3,6.00
2.68,14,37.14
2.69,16,53.44
2.7,15,121.93
2.71,104,25.66
2.72,27,22.89
2.73,1,6.00
2.74,16,112.19
2.76,50,34.92
2.77,4,70.25
2.78,52,33.38
2.79,5,115.20
2.8,27,34.37
2.82,29,27.55
2.83,3,22.67
2.85,10,24.70
2.88,4,20.25
2.9,10,40.20
2.91,17,40.53
2.92,1,127.00
2.93,25,46.12
2.95,10,33.40
2.96,18,33.72
2.97,21,23.95
2.98,1,13.00
2.99,2,37.50
3.0,18,72.17
3.01,5,11.20
3.02,28,23.89
3.03,43,39.40
3.04,1,50.00
3.05,2,12.00
3.07,1,4.00
3.09,3,37.33
3.1,3,10.33
3.11,1,6.00
3.12,2,37.00
3.13,1,28.00
3.14,7,157.71
3.16,35,83.34
3.18,22,11.68
3.19,13,48.00
3.2,3,50.33
3.22,10,52.50
3.23,10,20.90
3.24,2,22.50
3.25,8,27.62
3.26,7,22.86
3.27,2,5.00
3.29,62,49.48
3.32,2,98.00
3.33,4,5.75
3.34,2,74.00
3.35,2,41.00
3.36,5,52.00
3.37,16,27.44
3.39,58,32.00
3.4,2,27.50
3.43,2,149.00
3.44,10,52.70
3.45,6,112.00
3.46,14,232.64
3.47,4,63.50
3.48,3,90.67
3.5,8,32.25
3.51,85,10.80
3.54,2,27.00
3.55,3,42.67
3.57,15,44.67
3.58,2,5.00
3.61,26,55.35
3.68,3,207.33
3.69,19,99.63
3.7,39,44.56
3.74,52,32.94
3.75,37,24.84
3.76,8,34.75
3.78,1,43.00
3.83,6,17.50
3.84,40,121.25
3.87,31,84.00
3.89,139,24.83
3.91,2,62.50
3.92,24,78.25
3.93,52,30.15
3.96,3,8.33
3.98,1,129.00
3.99,63,26.54
4.03,22,99.09
4.04,167,20.64
4.05,33,18.52
4.06,6,165.83
4.07,1,29.00
4.08,30,33.60
4.12,1,14.00
4.13,45,77.24
4.18,20,72.35
4.29,1,115.00
4.31,4,12.75
4.35,13,42.85
4.38,2,155.00
4.39,53,40.43
4.42,3,32.67
4.43,1,66.00
4.47,26,10.42
4.48,3,18.67
4.54,2,154.00
4.62,1,1.00
4.65,1,4.00
4.79,6,19.83
4.87,2,23.50
5.08,5,14.20
5.13,6,132.67
5.26,5,16.60
5.33,7,15.14
5.49,2,54.50
5.51,33,35.88
5.65,1,83.00
6.37,7,61.14
6.81,4,67.75
6.85,1,141.00
7.08,4,8.50
7.28,1,37.00
7.97,3,142.00
8.8,1,33.00
9.34,3,2.33
