SNDP,num_delays,avg_delay_time
0.0,764483,34.78
0.4,51,20.96
1.2,20843,42.14
2.0,11406,43.40
3.1,6891,54.86
3.9,3511,44.37
5.1,2650,47.31
5.9,1296,45.40
7.1,2476,45.33
7.9,2675,44.66
9.1,1353,47.99
9.8,770,45.72
11.0,308,69.11
11.8,352,56.74
13.0,139,75.47
14.2,169,50.42
15.0,122,68.72
16.1,192,42.31
16.9,81,41.68
18.1,114,37.08
18.9,149,38.99
20.1,61,41.46
20.9,91,38.92
22.0,112,56.01
22.8,97,32.59
24.0,88,35.25
25.2,39,38.90
26.0,45,36.04
27.2,14,52.57
28.0,18,41.83
29.1,3,64.67
29.9,2,112.00
31.1,2,28.00
31.9,2,35.00
39.0,1,80.00
